A03b	B05	C7b	CAG29	GpCAG133	D05	D101	Gmm8	GpB20b	GpC10	Pgp28		
CHU_14_031	25	128	211	133	163	203	109	173	130	137	161	109
CHU_14_032	25	128	207	121	157	194	103	173	126	115	158	109
CHU_14_032	25	128	211	121	163	200	109	173	130	115	164	111
CHU_14_044	25	128	207	133	157	194	109	173	126	115	161	111
CHU_14_044	25	128	211	133	163	200	112	173	126	125	164	125
CHU_14_045	25	128	211	121	157	194	106	173	126	115	158	109
CHU_14_045	25	128	211	133	157	203	115	173	130	129	158	119
CHU_14_048	25	128	209	121	157	194	109	173	130	115	158	125
CHU_14_048	25	128	209	121	157	200	109	173	130	127	158	129
CHU_14_050	25	128	211	133	157	194	109	173	130	115	158	111
CHU_14_050	25	128	211	142	163	200	115	173	130	115	158	125
CHU_14_055	25	128	211	127	157	194	103	173	130	125	158	109
CHU_14_055	25	128	211	133	157	194	109	173	130	149	167	111
CHU_14_059	25	128	209	133	157	200	109	167	130	115	158	125
CHU_14_059	25	128	211	142	157	203	112	173	132	127	167	125
CHU_14_061	25	128	211	121	157	194	97	173	126	115	158	111
CHU_14_061	25	128	211	133	163	200	109	173	130	151	167	111
CHU_14_068	25	128	209	121	157	200	109	173	126	127	161	125
CHU_14_068	25	128	211	133	157	200	112	173	126	143	164	125
CHU_14_082	25	128	209	121	157	203	103	173	130	125	161	109
CHU_14_082	25	128	209	133	157	203	109	173	130	127	167	109
CHU_14_086	25	128	209	121	157	194	109	173	130	115	158	109
CHU_14_086	25	128	209	133	157	200	109	173	130	147	161	125
CHU_14_090	25	128	211	121	157	200	106	173	126	115	158	111
CHU_14_090	25	128	211	121	157	200	106	173	126	115	158	125
CHU_14_095	25	128	207	121	157	194	103	167	122	115	158	109
CHU_14_095	25	128	211	121	157	203	106	173	130	139	161	125
CHU_14_096	25	128	209	121	157	194	106	173	130	115	158	111
CHU_14_096	25	128	211	133	157	203	106	173	130	145	164	119
CHU_14_099	25	128	209	121	157	194	97	173	126	115	158	109
CHU_14_099	25	128	211	133	157	194	109	173	130	149	167	109
CHU_14_102	25	128	207	121	157	200	97	173	126	125	158	109
CHU_14_102	25	128	209	133	163	200	109	173	130	127	158	111
CHU_14_103	25	128	209	133	157	194	94	173	130	125	161	111
CHU_14_103	25	128	211	142	157	200	109	173	130	143	167	125
CHU_14_114	25	128	209	133	157	200	97	173	126	115	158	109
CHU_14_114	25	128	211	142	157	203	109	173	130	149	158	111
Ogur-L1	26	128	209	133	157	194	106	173	130	135	158	109
Ogur-L1	26	128	209	133	157	203	106	173	130	149	161	123
Ogur-L30	26	128	209	133	157	188	106	173	122	115	161	111
Ogur-L30	26	128	209	133	157	203	109	173	126	127	164	115
Ogur-L31	26	128	211	121	157	203	109	173	130	109	161	109
Ogur-L31	26	128	211	133	163	203	115	173	130	151	164	115
Ogur-L32	26	128	207	121	157	200	106	173	130	127	161	109
Ogur-L32	26	128	209	133	157	203	109	173	130	149	161	111
Ogur-L33	26	128	209	121	157	194	109	167	126	115	158	109
Ogur-L33	26	128	211	133	163	200	115	173	130	127	161	123
Ogur-L34	26	128	209	121	163	200	106	173	126	125	164	109
Ogur-L34	26	128	211	121	163	200	109	173	130	125	164	123
Ogur-L35	26	128	209	133	157	194	94	173	130	115	158	111
Ogur-L35	26	128	211	142	157	203	97	173	130	145	161	125
Ogur-L36	26	128	207	133	157	203	97	173	126	115	161	111
Ogur-L36	26	128	211	133	163	203	109	173	130	149	167	123
Ogur-L37	26	128	211	121	157	191	109	167	130	125	158	111
Ogur-L37	26	128	211	133	163	194	109	173	130	145	158	125
Ogur-L38	26	128	207	127	157	194	106	173	130	115	161	111
Ogur-L38	26	128	211	133	160	200	109	173	130	129	167	111
Ogur-L39	26	128	209	121	157	194	112	164	126	115	164	111
Ogur-L39	26	128	211	127	157	203	115	173	130	145	173	125
Ogur-L40	26	128	207	121	157	194	97	173	126	115	158	111
Ogur-L40	26	128	211	121	160	203	109	173	130	121	158	111
Ogur-L41	26	128	209	133	157	200	97	173	130	127	161	109
Ogur-L41	26	128	211	133	157	200	106	173	162	149	167	111
Ogur-L42	26	128	211	127	157	200	97	173	128	117	158	109
Ogur-L42	26	128	211	133	157	203	97	173	130	127	161	111
Ogur-L43	26	128	211	133	157	194	106	173	130	109	158	109
Ogur-L43	26	128	211	133	163	200	106	173	130	127	158	111
Ogur-L44	26	128	211	127	157	194	97	173	126	115	164	109
Ogur-L44	26	128	211	133	157	203	106	173	162	143	167	111
Ogur-L45	26	128	207	127	157	194	97	173	130	127	158	111
Ogur-L45	26	128	211	133	157	203	106	173	130	143	164	115
Ogur-L46	26	128	207	121	157	203	97	173	130	127	161	109
Ogur-L46	26	128	211	133	157	203	106	173	130	135	161	111
Ogur-L47	26	128	207	133	157	200	106	173	126	127	158	125
Ogur-L47	26	128	211	133	163	203	109	173	130	145	164	125
Ogur-L48	26	128	207	121	157	200	106	173	130	115	161	109
Ogur-L48	26	128	211	133	157	203	112	173	130	127	167	111
Ogur-L49	26	128	209	121	163	200	106	173	130	115	158	109
Ogur-L49	26	128	209	133	163	203	106	173	130	115	167	125
Ogur-L50	26	128	209	133	157	200	106	173	126	115	164	109
Ogur-L50	26	128	209	136	157	200	109	173	130	141	164	111
Ogur-L66	26	128	207	121	163	194	106	173	126	139	161	109
Ogur-L66	26	128	211	142	163	200	106	173	130	145	167	111
Ogur-L68	26	128	211	133	157	200	106	173	126	125	158	111
Ogur-L68	26	128	211	133	163	203	109	173	126	143	161	125
Ogur-L69	26	128	211	127	157	191	106	173	130	127	161	109
Ogur-L69	26	128	211	133	157	200	106	173	130	145	167	109
Ogur-L70	26	128	209	133	157	194	94	173	126	127	158	109
Ogur-L70	26	128	211	142	157	200	97	173	130	145	158	123
Ogur-L71	26	128	207	133	157	191	109	173	126	121	158	109
Ogur-L71	26	128	211	133	157	203	109	173	130	149	161	109
Ogur-L72	26	128	209	121	157	200	94	173	130	115	158	125
Ogur-L72	26	128	209	133	163	203	106	173	130	129	158	125
Ogur-L73	26	128	209	121	157	194	97	173	126	115	164	111
Ogur-L73	26	128	209	127	157	200	109	173	126	115	167	115
Ogur-L74	26	128	209	121	160	200	106	173	-9	115	158	125
Ogur-L74	26	128	211	121	163	200	106	173	-9	115	161	125
Ogur-L75	26	128	209	121	157	194	106	173	130	125	164	109
Ogur-L75	26	128	211	133	157	203	109	173	130	129	167	123
Ogur-L76	26	128	207	121	157	194	103	173	126	115	158	109
Ogur-L76	26	128	211	133	160	203	109	173	130	127	164	123
Ogur-L77	26	128	211	133	157	197	106	173	130	115	158	123
Ogur-L77	26	128	211	133	163	203	109	173	130	127	158	125
Ogur-L78	26	128	211	121	157	200	97	167	130	115	158	109
Ogur-L78	26	128	211	127	157	200	109	167	130	139	164	109
Ogur-L79	26	128	209	133	157	194	106	173	122	115	158	123
Ogur-L79	26	128	211	142	163	200	109	173	130	115	158	123
Ogur-L80	26	128	207	121	157	194	106	167	130	115	158	109
Ogur-L80	26	128	207	133	163	200	106	173	130	127	161	111
Ogur-L81	26	128	209	130	157	194	106	167	130	143	158	109
Ogur-L81	26	128	209	133	157	203	109	173	130	149	167	111
OCA_14_668	27	128	207	121	157	194	103	173	130	115	167	109
OCA_14_668	27	128	207	133	163	200	106	173	130	149	167	111
OCA_14_731	27	128	209	121	160	191	97	173	130	115	161	109
OCA_14_731	27	128	209	133	160	194	106	173	130	127	173	125
OCA_14_732	27	128	207	133	160	200	109	167	126	115	164	109
OCA_14_732	27	128	209	133	160	203	109	173	130	147	167	111
OCA_14_734	27	128	211	121	157	191	109	173	126	129	158	111
OCA_14_734	27	128	211	133	160	200	112	173	130	151	161	123
OCA_14_735	27	128	209	133	157	194	109	173	122	129	158	109
OCA_14_735	27	128	211	142	157	200	109	173	130	137	164	111
OCA_14_738	27	128	209	121	148	191	97	173	126	115	161	109
OCA_14_738	27	128	211	133	160	200	109	173	130	115	164	111
OCA_14_741	27	128	211	121	157	200	112	173	126	115	158	109
OCA_14_741	27	128	211	133	160	203	112	173	130	115	158	109
OCA_14_743	27	128	209	121	157	194	106	167	126	127	161	109
OCA_14_743	27	128	209	133	163	194	106	173	126	145	167	109
OCA_14_744	27	128	209	127	157	188	103	173	130	125	158	109
OCA_14_744	27	128	209	133	157	194	103	173	130	127	161	125
OCA_14_746	27	128	209	133	148	200	97	173	130	115	158	125
OCA_14_746	27	128	209	142	157	203	109	173	130	127	158	125
OCA_14_750	27	128	211	121	157	194	97	173	122	115	164	109
OCA_14_750	27	128	211	121	163	200	103	173	130	127	167	109
OCA_14_756	27	128	209	133	157	191	97	173	126	115	167	109
OCA_14_756	27	128	211	145	160	200	103	173	130	147	167	125
OCA_14_762	27	128	209	133	160	194	97	167	126	115	161	109
OCA_14_762	27	128	211	133	163	200	106	173	130	127	161	125
OCA_14_767	27	128	209	121	157	200	106	167	130	125	158	111
OCA_14_767	27	128	211	133	157	200	112	173	130	137	167	125
OCA_14_773	27	128	209	121	157	200	97	173	122	115	158	109
OCA_14_773	27	128	211	142	157	203	106	173	130	115	158	109
OCA_14_780	27	128	211	121	157	203	109	167	126	121	164	111
OCA_14_780	27	128	211	133	157	203	115	173	130	147	167	111
OCA_14_781	27	128	211	133	157	194	97	173	130	125	158	111
OCA_14_781	27	128	211	133	163	200	109	173	130	129	161	125
OCA_14_782	27	128	207	121	157	194	103	167	126	115	167	109
OCA_14_782	27	128	211	133	157	200	109	173	130	115	167	123
OCA_14_783	27	128	209	121	157	194	103	173	126	147	158	111
OCA_14_783	27	128	209	133	160	203	109	173	130	147	164	123
OCA_14_791	27	128	209	121	157	194	106	173	122	115	158	111
OCA_14_791	27	128	209	133	160	194	115	173	130	135	167	123
AKA_14_048	28	128	209	121	163	194	109	173	126	115	161	111
AKA_14_048	28	128	211	133	163	200	109	173	130	117	173	111
AKA_14_050	28	128	211	121	157	200	103	173	126	127	158	109
AKA_14_050	28	128	211	133	163	200	106	173	130	129	161	111
AKA_14_057	28	128	211	121	157	200	103	173	130	115	161	109
AKA_14_057	28	128	211	133	157	203	109	173	130	145	167	109
AKA_14_112	28	128	209	121	157	200	103	173	130	125	167	111
AKA_14_112	28	128	211	142	163	200	109	173	130	127	167	125
AKA_14_120	28	128	207	121	157	194	97	173	126	115	158	111
AKA_14_120	28	128	211	121	157	203	103	173	130	115	164	125
AKA_14_126	28	128	209	142	157	194	109	173	130	115	158	109
AKA_14_126	28	128	211	145	157	200	115	173	130	127	167	125
AKA_14_128	28	128	211	121	157	194	103	173	130	125	158	109
AKA_14_128	28	128	211	133	163	200	109	173	130	129	167	111
AKA_14_142	28	128	207	121	157	194	103	173	130	127	167	111
AKA_14_142	28	128	211	133	157	194	115	173	130	129	167	111
AKA_14_160	28	128	211	133	157	203	103	173	130	127	158	111
AKA_14_160	28	128	211	139	163	203	109	173	130	127	167	125
AKA_14_215	28	128	209	121	157	203	103	173	126	125	161	111
AKA_14_215	28	128	209	133	163	203	109	173	130	125	167	111
AKA_14_223	28	128	209	127	157	200	106	167	122	115	158	109
AKA_14_223	28	128	209	133	157	203	109	173	126	149	161	125
AKA_14_262	28	128	211	121	157	188	106	167	126	143	161	125
AKA_14_262	28	128	211	133	157	194	106	173	130	147	164	125
AKA_14_368	28	128	207	121	157	194	103	173	130	115	161	125
AKA_14_368	28	128	211	121	157	194	106	173	130	129	167	125
AKA_14_494	28	128	211	121	157	194	97	173	126	127	161	111
AKA_14_494	28	128	211	121	157	200	106	173	130	147	161	125
AKA_14_498	28	128	209	121	157	200	103	173	126	115	161	109
AKA_14_498	28	128	211	133	163	203	106	173	128	147	167	111
AKA_14_604	28	128	209	121	157	200	97	173	130	115	161	111
AKA_14_604	28	128	211	133	163	203	97	173	130	125	173	111
AKA_14_618	28	128	209	121	157	194	109	173	126	125	161	123
AKA_14_618	28	128	209	133	160	194	109	173	130	127	167	125
AKA_14_619	28	128	211	133	157	188	103	173	130	115	158	109
AKA_14_619	28	128	213	142	157	200	106	173	130	125	164	123
AKA_14_643	28	128	209	133	157	200	109	173	130	115	158	111
AKA_14_643	28	128	211	133	163	203	109	173	130	139	158	125
AKA_14_723	28	128	209	121	157	203	103	167	130	115	161	109
AKA_14_723	28	128	211	133	163	203	112	173	130	139	167	123
AKA_14_725	28	128	207	121	157	194	103	173	130	127	158	109
AKA_14_725	28	128	211	127	157	203	103	173	130	141	161	111
AKA_14_760	28	128	207	127	148	200	97	173	126	115	161	111
AKA_14_760	28	128	211	133	163	203	106	173	126	127	173	111
AKA_14_882	28	128	211	121	157	194	97	173	126	115	161	111
AKA_14_882	28	128	211	133	157	203	103	173	130	147	167	125
AKA_14_885	28	128	211	121	157	194	97	173	122	125	161	109
AKA_14_885	28	128	211	127	163	194	109	173	130	125	167	109
AKA_14_887	28	128	211	133	157	194	106	173	122	115	161	111
AKA_14_887	28	128	211	133	157	194	109	173	130	129	164	125
AKA_14_903	28	128	211	133	157	194	106	173	130	143	161	109
AKA_14_903	28	128	211	142	157	200	109	173	130	147	167	109
KO_10_001	29	128	207	133	157	188	109	173	130	139	161	109
KO_10_001	29	128	209	142	157	200	112	173	130	143	161	109
KO_10_002	29	128	209	121	163	203	97	167	130	115	167	109
KO_10_002	29	128	209	133	163	203	103	173	130	127	167	111
KO_10_003	29	128	209	121	157	194	97	167	126	115	161	111
KO_10_003	29	128	209	142	160	194	106	173	130	117	161	125
KO_10_004	29	128	209	124	157	197	106	167	126	115	161	111
KO_10_004	29	128	209	124	157	197	109	173	130	127	161	123
KO_10_005	29	128	209	133	157	194	106	167	126	115	158	111
KO_10_005	29	128	209	133	160	194	109	173	126	143	161	111
KO_10_006	29	128	211	121	157	194	97	173	126	117	158	111
KO_10_006	29	128	211	133	163	200	106	173	130	127	167	111
KO_10_007	29	128	209	121	157	203	106	173	126	115	158	125
KO_10_007	29	128	211	127	163	203	109	173	126	143	167	125
KO_10_008	29	128	211	133	157	188	106	173	130	115	161	109
KO_10_008	29	128	211	133	157	194	109	173	130	143	167	109
KO_10_010	29	128	209	121	157	200	97	173	126	127	158	109
KO_10_010	29	128	211	145	157	203	103	173	130	139	164	109
KO_10_011	29	128	209	121	157	203	97	167	126	115	158	109
KO_10_011	29	128	209	133	163	203	106	173	130	115	173	109
KO_10_012	29	128	209	121	157	203	97	173	126	117	161	109
KO_10_012	29	128	209	133	163	203	106	173	126	145	167	125
KO_10_013	29	128	207	121	157	194	97	173	130	115	161	109
KO_10_013	29	128	209	133	157	200	106	173	130	129	167	109
KO_10_014	29	128	207	121	157	191	97	173	130	125	158	109
KO_10_014	29	128	211	121	157	191	109	173	130	129	161	109
KO_10_015	29	128	209	121	157	191	97	173	126	127	158	109
KO_10_015	29	128	209	121	157	194	109	173	130	129	158	109
KO_10_016	29	128	211	121	157	188	97	173	130	127	164	109
KO_10_016	29	128	211	133	157	203	103	173	130	145	167	111
OLE_14_030	30	128	211	133	157	194	97	173	130	115	158	109
OLE_14_030	30	128	211	133	163	200	109	173	130	129	161	109
OLE_14_031	30	128	209	121	157	188	97	173	130	127	158	109
OLE_14_031	30	128	211	121	157	200	109	173	130	143	164	111
OLE_14_072	30	128	209	121	157	200	106	173	130	127	161	109
OLE_14_072	30	128	209	121	163	200	106	173	130	145	164	125
OLE_14_075	30	128	211	121	157	194	103	173	-9	115	164	123
OLE_14_075	30	128	211	133	157	203	115	173	-9	127	164	129
OLE_14_102	30	128	209	121	157	194	115	173	126	115	161	109
OLE_14_102	30	128	211	133	157	200	115	173	130	117	167	111
OLE_14_103	30	128	209	121	157	194	106	173	130	127	161	109
OLE_14_103	30	128	209	124	160	200	109	173	130	147	164	125
OLE_14_104	30	128	211	121	157	194	109	173	130	129	167	125
OLE_14_104	30	128	211	142	157	200	115	173	130	147	167	125
OLE_14_106	30	128	207	127	157	200	106	167	126	115	161	109
OLE_14_106	30	128	211	133	163	203	106	173	130	147	164	125
OLE_14_116	30	128	209	121	157	194	103	173	130	127	158	109
OLE_14_116	30	128	209	133	157	194	109	173	130	127	161	123
OLE_14_129	30	128	211	133	157	194	106	173	126	115	158	111
OLE_14_129	30	128	211	133	157	200	106	173	130	129	167	111
OLE_14_177	30	128	209	121	157	191	97	173	130	115	158	109
OLE_14_177	30	128	209	133	163	194	103	173	130	127	167	109
OLE_14_317	30	128	209	133	157	200	97	167	130	115	158	109
OLE_14_317	30	128	211	133	160	203	109	173	130	115	161	109
OLE_14_390	30	128	211	121	157	194	106	173	130	115	158	109
OLE_14_390	30	128	211	133	157	200	112	173	130	127	161	111
OLE_14_392	30	128	211	121	157	200	103	173	126	115	161	109
OLE_14_392	30	128	211	121	157	203	109	173	130	141	161	111
OLE_14_441	30	128	209	133	157	200	106	173	130	115	158	109
OLE_14_441	30	128	209	133	160	203	106	173	130	129	167	109
OLE_14_442	30	128	211	133	157	194	103	173	126	117	158	123
OLE_14_442	30	128	211	133	157	200	109	173	130	153	164	123
OLE_14_447	30	128	209	133	157	194	97	173	130	143	158	111
OLE_14_447	30	128	211	133	160	203	106	173	130	147	167	123
OLE_14_448	30	128	209	121	160	203	109	164	130	125	161	109
OLE_14_448	30	128	209	133	163	203	109	173	130	127	167	111
OLE_14_449	30	128	209	121	157	194	97	173	130	115	158	123
OLE_14_449	30	128	211	133	157	194	106	173	130	147	158	125
OLE_14_575	30	128	209	133	157	194	109	173	130	125	158	123
OLE_14_575	30	128	211	133	157	200	109	173	130	147	161	125
OLE_14_576	30	128	207	130	157	194	103	173	126	115	158	109
OLE_14_576	30	128	207	133	160	194	106	173	130	147	167	111
OLE_14_597	30	128	209	133	157	200	112	173	126	115	158	125
OLE_14_597	30	128	209	133	160	200	115	173	130	149	167	125
OLE_14_598	30	128	211	133	157	194	109	173	126	115	167	109
OLE_14_598	30	128	211	133	157	203	109	173	130	127	173	109
OLE_14_675	30	128	211	127	163	194	106	173	126	147	158	123
OLE_14_675	30	128	211	133	163	200	115	173	130	149	167	125
ACA_14_1009	31	128	209	121	157	197	97	167	124	115	158	109
ACA_14_1009	31	128	209	142	157	206	103	173	130	129	167	123
ACA_14_1010	31	128	211	121	157	194	103	173	120	137	161	109
ACA_14_1010	31	128	211	133	160	203	109	173	126	143	161	123
ACA_14_1011	31	128	209	133	157	197	112	173	130	125	158	109
ACA_14_1011	31	128	209	133	160	206	115	173	130	125	161	125
ACA_14_1012	31	128	207	121	157	197	103	173	126	115	161	111
ACA_14_1012	31	128	209	142	160	203	106	173	130	135	173	111
ACA_14_1013	31	128	209	121	157	197	109	173	126	141	-9	109
ACA_14_1013	31	128	211	133	157	197	112	173	130	145	-9	109
ACA_14_1014	31	128	209	133	157	203	103	173	126	115	158	109
ACA_14_1014	31	128	211	133	157	206	115	173	130	115	167	109
ACA_14_1024	31	128	209	133	157	197	103	173	126	127	167	109
ACA_14_1024	31	128	209	133	160	206	112	173	130	127	167	125
ACA_14_1025	31	128	209	127	157	197	97	167	126	127	158	109
ACA_14_1025	31	128	211	133	163	197	109	173	130	137	161	109
ACA_14_1026	31	128	207	121	157	203	106	173	122	115	158	109
ACA_14_1026	31	128	209	133	160	203	115	173	130	129	167	125
ACA_14_1029	31	128	211	121	157	203	106	173	124	115	158	109
ACA_14_1029	31	128	211	133	160	206	109	173	130	115	167	111
ACA_14_1030	31	128	211	133	160	200	109	173	122	115	158	109
ACA_14_1030	31	128	211	142	160	209	109	173	126	127	161	109
ACA_14_1031	31	128	211	121	157	191	109	173	130	125	161	109
ACA_14_1031	31	128	211	142	160	197	115	173	130	139	173	125
ACA_14_1106	31	128	209	121	157	197	109	173	126	115	161	111
ACA_14_1106	31	128	211	133	157	197	115	173	130	115	167	111
ACA_14_1107	31	128	209	121	157	203	106	173	130	115	158	109
ACA_14_1107	31	128	209	133	157	206	106	173	130	115	161	119
ACA_14_1108	31	128	209	121	157	206	103	173	126	115	161	109
ACA_14_1108	31	128	211	133	157	206	106	173	130	115	167	123
ACA_14_1109	31	128	209	121	157	191	106	173	122	143	161	109
ACA_14_1109	31	128	209	133	163	197	115	173	130	147	167	125
ACA_14_1110	31	128	211	121	157	197	109	164	126	121	161	109
ACA_14_1110	31	128	211	133	157	197	109	173	130	121	164	109
ACA_14_1111	31	128	209	121	157	203	103	173	122	115	161	111
ACA_14_1111	31	128	211	133	157	206	106	173	126	139	161	125
ACA_14_1120	31	128	209	133	157	197	106	173	130	121	158	109
ACA_14_1120	31	128	209	145	157	206	112	173	130	121	158	109
ACA_14_1121	31	128	209	121	157	206	106	173	130	115	161	109
ACA_14_1121	31	128	211	133	157	206	106	173	130	127	173	123
ACA_14_1122	31	128	209	121	157	191	109	173	130	117	167	109
ACA_14_1122	31	128	209	121	163	203	109	173	130	125	167	125
ACA_14_1123	31	128	209	127	157	203	103	173	130	115	161	109
ACA_14_1123	31	128	209	133	160	203	103	173	130	115	167	109
ACA_14_1124	31	128	209	121	157	197	97	173	130	115	167	111
ACA_14_1124	31	128	211	121	157	206	106	173	130	115	167	125
ACA_14_1125	31	128	209	121	148	197	97	173	126	115	158	109
ACA_14_1125	31	128	211	133	157	206	109	173	130	115	158	109
ACA_14_1128	31	128	209	133	157	197	97	173	126	115	158	109
ACA_14_1128	31	128	211	133	163	197	106	173	130	115	158	109
APU_14_642	32	128	211	121	157	194	109	173	126	125	158	111
APU_14_642	32	128	211	133	157	203	109	173	126	125	158	125
APU_14_643	32	128	209	121	157	194	109	173	130	125	158	109
APU_14_643	32	128	209	127	163	194	115	173	130	127	167	125
APU_14_644	32	128	211	121	157	194	97	173	126	127	161	109
APU_14_644	32	128	211	127	157	194	109	173	130	143	167	109
APU_14_647	32	128	209	121	157	194	109	173	126	115	158	111
APU_14_647	32	128	211	142	157	203	109	173	126	139	164	125
APU_14_652	32	128	209	133	157	191	106	173	130	115	158	109
APU_14_652	32	128	211	133	163	194	109	173	130	125	158	125
APU_14_655	32	128	211	133	163	200	97	173	130	125	158	109
APU_14_655	32	128	211	133	163	203	97	173	130	127	161	109
APU_14_660	32	128	211	133	163	194	106	173	130	127	158	109
APU_14_660	32	128	211	133	163	203	112	173	130	127	161	111
APU_14_662	32	128	209	121	157	188	109	173	130	125	158	109
APU_14_662	32	128	211	133	157	194	109	173	130	127	167	109
APU_14_665	32	128	209	121	157	200	97	167	126	141	158	125
APU_14_665	32	128	211	133	157	200	103	173	130	145	158	125
APU_14_666	32	128	209	121	157	200	109	173	130	115	158	111
APU_14_666	32	128	211	133	163	203	109	173	130	127	158	111
APU_14_667	32	128	209	133	157	194	103	167	126	117	158	111
APU_14_667	32	128	211	142	157	194	109	173	130	135	158	111
APU_14_669	32	128	209	121	157	-9	103	173	130	125	158	109
APU_14_669	32	128	209	133	160	-9	103	173	130	125	158	111
APU_14_674	32	128	207	121	157	200	103	173	130	141	158	109
APU_14_674	32	128	209	133	163	200	109	173	130	145	161	125
APU_14_677	32	128	209	121	157	200	94	167	130	115	158	109
APU_14_677	32	128	211	133	163	200	103	173	130	115	158	125
APU_14_683	32	128	209	121	157	194	109	173	130	127	158	109
APU_14_683	32	128	211	142	157	203	109	173	130	127	167	125
APU_14_686	32	128	209	121	157	200	94	167	126	115	161	109
APU_14_686	32	128	211	133	157	203	106	173	126	115	161	111
APU_14_689	32	128	207	127	157	203	103	173	126	127	158	109
APU_14_689	32	128	209	142	157	203	106	173	130	127	167	109
APU_14_694	32	128	207	133	163	194	109	173	130	115	161	109
APU_14_694	32	128	209	133	163	203	115	173	130	129	167	109
APU_14_695	32	128	209	133	157	200	109	173	126	117	158	111
APU_14_695	32	128	211	133	157	203	109	173	130	125	161	111
APU_14_697	32	128	207	121	157	194	103	173	126	115	158	109
APU_14_697	32	128	209	133	163	203	115	173	130	115	167	109
APU_14_698	32	128	209	133	163	194	97	173	126	115	158	123
APU_14_698	32	128	211	133	163	203	106	173	130	127	161	125
APU_14_699	32	128	209	133	157	194	109	173	130	115	164	109
APU_14_699	32	128	209	133	157	194	109	173	130	115	167	125
APU_14_700	32	128	209	121	160	188	97	173	130	127	161	111
APU_14_700	32	128	211	133	160	194	109	173	130	143	161	111
APU_14_707	32	128	209	121	157	194	103	173	130	141	158	109
APU_14_707	32	128	209	133	163	203	109	173	130	147	158	109
APU_14_708	32	128	209	127	157	200	103	167	130	115	158	109
APU_14_708	32	128	211	133	163	203	109	173	130	115	158	123
APU_14_709	32	128	209	121	157	200	106	173	126	127	158	125
APU_14_709	32	128	211	133	160	203	109	173	130	145	158	125
APU_14_710	32	128	207	121	157	191	94	173	126	115	158	109
APU_14_710	32	128	211	133	157	203	106	173	130	125	164	109
APU_14_717	32	128	209	121	157	200	103	173	126	115	161	109
APU_14_717	32	128	211	127	157	200	106	173	130	117	167	109
APU_14_729	32	128	209	121	157	194	106	173	130	115	161	109
APU_14_729	32	128	211	133	157	194	115	173	130	115	167	125
AP1_2008	33	128	211	121	157	194	94	173	130	115	167	125
AP1_2008	33	128	211	133	163	203	103	173	130	127	173	125
AP10_2008	33	128	207	121	157	194	103	173	130	129	158	109
AP10_2008	33	128	211	130	157	200	115	173	130	149	158	125
AP11_2008	33	128	211	121	157	203	97	167	130	115	158	111
AP11_2008	33	128	211	130	163	203	109	173	130	127	167	123
AP12_2008	33	128	211	133	157	194	103	173	130	115	161	109
AP12_2008	33	128	211	133	157	203	103	173	130	115	161	125
AP13_2008	33	128	207	121	157	194	94	173	130	115	158	109
AP13_2008	33	128	211	121	157	200	106	173	130	125	161	125
AP16_2008	33	128	211	121	160	194	106	167	130	129	167	109
AP16_2008	33	128	211	133	163	194	109	173	130	135	173	123
AP18_2008	33	128	209	-9	157	194	103	173	120	115	161	109
AP18_2008	33	128	211	-9	160	203	106	173	130	137	161	109
AP19_2008	33	128	211	121	163	194	103	173	-9	115	-9	109
AP19_2008	33	128	211	133	163	200	103	173	-9	115	-9	123
AP2_2008	33	128	209	-9	157	194	103	173	130	127	158	-9
AP2_2008	33	128	209	-9	160	200	106	173	130	143	158	-9
AP20_2008	33	128	-9	121	160	-9	106	-9	-9	-9	-9	125
AP20_2008	33	128	-9	133	160	-9	106	-9	-9	-9	-9	125
AP3_2008	33	128	209	121	157	200	106	173	126	115	161	109
AP3_2008	33	128	209	133	160	203	106	173	130	147	161	125
AP5_2008	33	128	209	121	157	194	106	173	122	117	161	109
AP5_2008	33	128	211	133	157	200	109	173	130	125	167	109
AP7_2008	33	128	209	121	157	194	106	173	130	143	161	109
AP7_2008	33	128	211	121	163	200	106	173	130	143	161	123
AP8_2008	33	128	209	133	160	194	106	173	126	115	158	109
AP8_2008	33	128	209	133	163	200	115	173	126	117	173	123
AP9_2008	33	128	209	121	157	194	103	173	130	115	158	109
AP9_2008	33	128	209	133	157	203	109	173	130	143	167	111
AMI_14_376	34	128	211	121	157	194	109	173	130	127	161	109
AMI_14_376	34	128	211	133	163	203	109	173	130	127	167	109
AMI_14_381	34	128	211	121	157	200	94	173	126	127	158	109
AMI_14_381	34	128	211	133	157	203	97	173	130	127	158	109
AMI_14_382	34	128	207	121	157	194	97	167	130	115	161	109
AMI_14_382	34	128	209	133	163	203	115	173	130	127	161	109
AMI_14_387	34	128	211	121	157	200	94	173	126	115	158	109
AMI_14_387	34	128	211	133	157	203	97	173	130	127	161	109
AMI_14_581	34	128	209	133	157	203	97	173	126	127	158	109
AMI_14_581	34	128	211	133	157	203	106	173	130	149	161	109
AMI_14_582	34	128	207	121	157	194	103	173	126	127	158	115
AMI_14_582	34	128	211	133	157	203	109	173	130	149	158	123
AMI_14_586	34	128	211	121	157	194	109	173	130	115	158	109
AMI_14_586	34	128	211	133	157	203	109	173	130	127	164	109
AMI_14_587	34	128	209	127	157	203	94	173	130	127	158	119
AMI_14_587	34	128	211	133	163	203	115	173	130	149	161	119
AMI_14_607	34	128	211	121	157	194	109	167	130	117	158	111
AMI_14_607	34	128	211	133	163	203	115	173	130	149	161	111
